Mes - Semana,FASE 14 (m),FASE 9 (m),FASE 8S (m),FASE 12 (m),FASE 13 (m),Pozo(s) en ejecución,Total Semanal (m)
Marzo - S11,128.85,–,–,–,–,"ZD-2817, ZD-2818**",128.85
Marzo - S12,142.55,120.00,–,–,–,"ZD-2818**, ZD-2820",262.55
Marzo - S13,–,292.90,–,–,–,"ZD-2823**, ZD-2824**, ZD-2825**",292.90
Marzo - S14,260.20,–,–,–,–,ZD-2825**,260.20
Abril - S15,–,–,100.00,222.35,–,"ZD-2829**, ZD-2830, ZD-2832",322.35
Abril - S16,–,–,–,155.00,210.70,"ZD-2832**, ZD-2833",365.70
Abril - S17,–,–,–,69.30,244.85,"ZD-2833**, ZD-2835",314.15
Abril - S18,–,–,–,70.85,127.75,"ZD-2835**, ZD-2837**",198.60
Mayo - S19,–,–,–,326.65,–,"ZD-2837**, ZD-2839**",326.65
Mayo - S20,–,–,–,255.15,–,"ZD-2839**, ZD-2842, ZD-2843**",255.15
Mayo - S21,–,–,–,–,151.55,ZD-2843,151.55
Junio - S23,–,–,–,228.55,–,"ZD-2849**, ZD-2851**",228.55
Junio - S24,–,–,–,158.90,–,ZD-2851,158.90
TOTAL MARZO,531.60,412.90,–,–,–,,944.50
TOTAL ABRIL,–,–,100.00,517.50,583.30,,1200.80
TOTAL MAYO,–,–,–,581.80,151.55,,733.35
TOTAL JUNIO,–,–,–,387.45,–,,387.45
TOTAL ACUMULADO,531.60,412.90,100.00,1486.75,734.85,,3266.10
